date,airport,direction,time,destination,flight,airline,airline_source,duration,page_date_verified,scraped_at
2026-02-19,BKK,departure,10:15,KTM Kathmandu,TG319,Thai Airways,text,3h 25m,True,2026-02-10T19:26:42.010128
2026-02-19,BKK,departure,10:15,RGN Yangon,8M336,MAI,text,1h 20m,True,2026-02-10T19:26:42.097097
2026-02-19,BKK,departure,10:20,HKT Phuket,VZ304,Vietjet Thailand,text,1h 30m,True,2026-02-10T19:26:42.183644
2026-02-19,BKK,departure,10:20,CAN Guangzhou,9C8894,Spring Airlines,text,2h 50m,True,2026-02-10T19:26:42.272949
2026-02-19,BKK,departure,10:20,USM Koh Samui,PG131,Bangkok Airways,text,1h 10m,True,2026-02-10T19:26:42.363861
2026-02-19,BKK,departure,10:25,KKC Khon Kaen,TG42,Thai Airways,text,1h 0m,True,2026-02-10T19:26:42.461214
2026-02-19,BKK,departure,10:25,CNX Chiang Mai,VZ102,Vietjet Thailand,text,1h 20m,True,2026-02-10T19:26:42.558559
2026-02-19,BKK,departure,10:30,CNX Chiang Mai,FD4104,Thai AirAsia,text,1h 20m,True,2026-02-10T19:26:42.647408
2026-02-19,BKK,departure,10:30,HKG Hong Kong,TG628,Thai Airways,text,2h 50m,True,2026-02-10T19:26:42.733290
2026-02-19,BKK,departure,10:35,PVG Shanghai,TG664,Thai Airways,text,4h 15m,True,2026-02-10T19:26:42.821226
2026-02-19,BKK,departure,10:35,KTI Phnom Penh,K6723,Air Cambodia,text,1h 5m,True,2026-02-10T19:26:42.910679
2026-02-19,BKK,departure,10:35,MFM Macau,NX995,Air Macau,text,2h 50m,True,2026-02-10T19:26:42.998267
2026-02-19,BKK,departure,10:40,NST Nakhon Si Thammarat,FD4231,Thai AirAsia,text,1h 25m,True,2026-02-10T19:26:43.089580
2026-02-19,BKK,departure,10:40,HKG Hong Kong,UO705,HK Express,text,3h 0m,True,2026-02-10T19:26:43.177309
2026-02-19,BKK,departure,10:45,IKT Irkutsk,SU659,Aeroflot,text,6h 20m,True,2026-02-10T19:26:43.265903
2026-02-19,BKK,departure,10:45,PVG Shanghai,FM842,Shanghai Airlines,text,4h 15m,True,2026-02-10T19:26:43.364641
2026-02-19,BKK,departure,10:50,DEL Delhi,6E1064,IndiGo,text,4h 35m,True,2026-02-10T19:26:43.464011
